ContractID,HostRegion,Product ID,Unit,JPY List Price(per unit),JPY List Price,JPY Transfer Price(per unit),JPY Transfer Price
GPPNPXUJ,DEU,DEU-IP-0001-0001,37556,0.010000,375.560000,0.000000,0.000000
GPPNPXUJ,DEU,DEU-VM-0001-0001,2138,0.098200,209.951600,0.000000,0.000000
GPPNPXUJ,DEU,DEU-NW-0002-0001,54516,0.021500,1172.094000,0.000000,0.000000
GPPNPXUJ,DEU,DEU-DK-0003-0001,9371840,0.000190,1780.649600,0.000000,0.000000
GPPNPXUJ,DEU,DEU-DK-0002-0001,714040,0.000190,135.667600,0.000000,0.000000
GPPNPXUJ,DEU,DEU-VM-0001-0004,12783,0.787300,10064.055900,0.000000,0.000000
GPPNPXUJ,DEU,DEU-NW-0001-0001,38,0.010200,0.387600,0.000000,0.000000
GPPNPXUJ,DEU,DEU-VM-0001-0003,30085,0.393600,11841.456000,0.000000,0.000000
GPPNPXUJ,DEU,DEU-SD-0001-0001,5888161,0.000190,1118.750590,0.000000,0.000000
GPPNPXUJ,-,Total,-,-,107000.17729,-,0
H1FMB1O9,UKI,UKI-NW-0001-0001,33,0.121000,3.993000,0.000000,0.000000
H1FMB1O9,UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.000000,0.000000
H1FMB1O9,UKI,UKI-DK-0002-0001,7440,0.000160,1.190400,0.000000,0.000000
H1FMB1O9,UKI,UKI-NW-0002-0001,2976,0.023000,68.448000,0.000000,0.000000
H1FMB1O9,UKI,UKI-SD-0001-0001,126480,0.000160,20.236800,0.000000,0.000000
H1FMB1O9,UKI,UKI-DK-0001-0001,252960,0.000160,40.473600,0.000000,0.000000
H1FMB1O9,UKI,UKI-VM-0001-0001,744,0.080000,59.520000,0.000000,0.000000
H1FMB1O9,UKI,UKI-IP-0001-0001,2976,0.008000,23.808000,0.000000,0.000000
H1FMB1O9,UKI,UKI-VM-0001-0002,5952,0.160000,952.320000,0.000000,0.000000
H1FMB1O9,-,Total,-,-,1408.0698,-,0
L4JZ1JGP,SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.000000,0.000000
L4JZ1JGP,SIN,SIN-NW-0001-0001,8,0.015900,0.127200,0.000000,0.000000
L4JZ1JGP,SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.000000,0.000000
L4JZ1JGP,SIN,SIN-DK-0001-0001,52080,0.000300,15.624000,0.000000,0.000000
L4JZ1JGP,SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000000,0.000000
L4JZ1JGP,-,Total,-,-,264.5448,-,0
LCLAOSJQ,SIN,SIN-VM-0001-0004,743,1.226100,910.992300,0.000000,0.000000
LCLAOSJQ,SIN,SIN-NW-0001-0001,0,0.015900,0.000000,0.000000,0.000000
LCLAOSJQ,SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.000000,0.000000
LCLAOSJQ,SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000000,0.000000
LCLAOSJQ,SIN,SIN-DK-0003-0001,29800,0.000300,8.940000,0.000000,0.000000
LCLAOSJQ,-,Total,-,-,940.6899,-,0
UY0LNKKW,SIN,SIN-VM-0001-0004,744,1.226100,912.218400,0.000000,0.000000
UY0LNKKW,SIN,SIN-VM-0001-0002,1488,0.306500,456.072000,0.000000,0.000000
UY0LNKKW,SIN,SIN-DK-0003-0002,379440,0.000300,113.832000,0.000000,0.000000
UY0LNKKW,SIN,SIN-IP-0001-0001,2976,0.015900,47.318400,0.000000,0.000000
UY0LNKKW,SIN,SIN-DK-0001-0001,602640,0.000300,180.792000,0.000000,0.000000
UY0LNKKW,SIN,SIN-NW-0002-0001,744,0.033700,25.072800,0.000000,0.000000
UY0LNKKW,SIN,SIN-DK-0003-0001,133920,0.000300,40.176000,0.000000,0.000000
UY0LNKKW,SIN,SIN-NW-0001-0001,255,0.015900,4.054500,0.000000,0.000000
UY0LNKKW,SIN,SIN-VM-0001-0001,2232,0.153300,342.165600,0.000000,0.000000
UY0LNKKW,SIN,SIN-SD-0001-0001,133920,0.000300,40.176000,0.000000,0.000000
UY0LNKKW,-,Total,-,-,2161.8777,-,0
WEZVR8QC,SIN,SIN-VM-0001-0004,793,1.226100,972.297300,0.000000,0.000000
WEZVR8QC,SIN,SIN-DK-0002-0001,14880,0.000300,4.464000,0.000000,0.000000
WEZVR8QC,SIN,SIN-NW-0001-0001,4,0.015900,0.063600,0.000000,0.000000
WEZVR8QC,SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.000000,0.000000
WEZVR8QC,SIN,SIN-SD-0001-0001,37200,0.000300,11.160000,0.000000,0.000000
WEZVR8QC,SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.000000,0.000000
WEZVR8QC,SIN,SIN-NW-0002-0001,744,0.033700,25.072800,0.000000,0.000000
WEZVR8QC,SIN,SIN-DK-0003-0001,14880,0.000300,4.464000,0.000000,0.000000
WEZVR8QC,-,Total,-,-,1143.4065,-,0
XWOTFVQW,UKI,UKI-DK-0002-0001,22320,0.000160,3.571200,0.000000,0.000000
XWOTFVQW,UKI,UKI-IP-0001-0001,2232,0.008000,17.856000,0.000000,0.000000
XWOTFVQW,UKI,UKI-SD-0001-0001,133920,0.000160,21.427200,0.000000,0.000000
XWOTFVQW,UKI,UKI-DK-0001-0001,208320,0.000160,33.331200,0.000000,0.000000
XWOTFVQW,-,Total,-,-,76.1856,-,0

FoC ContractIDs
J4JJDZI2,SIN,SIN-NW-0001-0001,0,0.015900,0.000000,0.000000,0.000000
J4JJDZI2,SIN,SIN-IP-0001-0001,365,0.015900,5.803500,0.000000,0.000000
J4JJDZI2,SIN,SIN-SD-0001-0001,3660,0.000300,1.098000,0.000000,0.000000
J4JJDZI2,SIN,SIN-VM-0001-0001,353,0.153300,54.114900,0.000000,0.000000
